OBJECTID,MESH,Latitude,Longitude,Reference,cs137_inve,landuse_co
171879,5640_3795_3_4,37.66562500000,140.94218800000,2011/7/2,139944.18750000000,110
171926,5640_3798_3_3,37.66562500000,140.97656300000,2011/7/2,81690.19531000000,20
172655,5640_4709_4_1,37.67187500000,140.99531300000,2011/7/2,71942.62500000000,50
172656,5640_4709_4_2,37.67187500000,140.99843800000,2011/7/2,67527.50000000000,50
171797,5640_3790_3_2,37.66354200000,140.87968800000,2011/7/2,474364.81250000000,20
171800,5640_3790_4_1,37.66354200000,140.88281300000,2011/7/2,456660.43750000000,20
171813,5640_3791_3_2,37.66354200000,140.89218800000,2011/7/2,401794.25000000000,70
171816,5640_3791_4_1,37.66354200000,140.89531300000,2011/7/2,382761.59380000000,70
171817,5640_3791_4_2,37.66354200000,140.89843800000,2011/7/2,365740.43750000000,20
171844,5640_3793_3_1,37.66354200000,140.91406300000,2011/7/2,258740.76560000000,70
171881,5640_3795_4_2,37.66354200000,140.94843800000,2011/7/2,132712.43750000000,50
171883,5640_3795_4_4,37.66562500000,140.94843800000,2011/7/2,127799.33590000000,20
171892,5640_3796_3_1,37.66354200000,140.95156300000,2011/7/2,130785.28130000000,70
171929,5640_3798_4_2,37.66354200000,140.98593800000,2011/7/2,75464.53906000000,70
171942,5640_3799_3_3,37.66562500000,140.98906300000,2011/7/2,74137.35938000000,10
171812,5640_3791_3_1,37.66354200000,140.88906300000,2011/7/2,418756.90630000000,20
171814,5640_3791_3_3,37.66562500000,140.88906300000,2011/7/2,413152.87500000000,20
171893,5640_3796_3_2,37.66354200000,140.95468800000,2011/7/2,124703.16410000000,10
171894,5640_3796_3_3,37.66562500000,140.95156300000,2011/7/2,126083.39840000000,10
171895,5640_3796_3_4,37.66562500000,140.95468800000,2011/7/2,120412.92190000000,10
171896,5640_3796_4_1,37.66354200000,140.95781300000,2011/7/2,115422.78130000000,10
171897,5640_3796_4_2,37.66354200000,140.96093800000,2011/7/2,106451.50780000000,10
171899,5640_3796_4_4,37.66562500000,140.96093800000,2011/7/2,104833.46880000000,10
172583,5640_4705_2_1,37.66770800000,140.94531300000,2011/7/2,130564.70310000000,10
172584,5640_4705_2_2,37.66770800000,140.94843800000,2011/7/2,125139.96880000000,10
172586,5640_4705_2_4,37.66979200000,140.94843800000,2011/7/2,123600.36720000000,10
172588,5640_4705_3_2,37.67187500000,140.94218800000,2011/7/2,129483.68750000000,10
172589,5640_4705_3_3,37.67395800000,140.93906300000,2011/7/2,133598.98440000000,10
172590,5640_4705_3_4,37.67395800000,140.94218800000,2011/7/2,128875.32810000000,10
172591,5640_4705_4_1,37.67187500000,140.94531300000,2011/7/2,124171.14060000000,10
172592,5640_4705_4_2,37.67187500000,140.94843800000,2011/7/2,121404.09380000000,10
172593,5640_4705_4_3,37.67395800000,140.94531300000,2011/7/2,123050.67190000000,10
172595,5640_4706_1_1,37.66770800000,140.95156300000,2011/7/2,122692.25000000000,10
172596,5640_4706_1_2,37.66770800000,140.95468800000,2011/7/2,117324.16410000000,10
172597,5640_4706_1_3,37.66979200000,140.95156300000,2011/7/2,121477.09380000000,10
171908,5640_3797_3_1,37.66354200000,140.96406300000,2011/7/2,100320.91410000000,20
171940,5640_3799_3_1,37.66354200000,140.98906300000,2011/7/2,75348.92188000000,100
